mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-715324,1.14,0.333,-656.0,771.0,NiO2,1.12,3.97
mp-571341,0.96,0.566,-592.0,627.0,InHg6As4Cl7,1.03,1.74
mp-768920,0.674,0.117,-497.0,744.0,Ho2(SeO3)3,1.19,6.04
mp-2488,0.821,1.68,-779.0,642.0,SiOs,2.08,1.02
mp-4530,1.05,0.0687,-336.0,769.0,Cd2SiO4,0.303,12.5
mp-570192,0.171,0.0614,-642.0,655.0,CsZr6MnI14,7.21,21.0
mp-707854,0.00154,0.00496,-662.0,719.0,CsH24Ru(SO10)2,801.0,249.0
mp-768199,0.711,0.505,-713.0,719.0,Li3SbS3,2.01,2.84
mp-504422,0.186,0.0134,-775.0,793.0,H7NO6,144.0,160.0
mp-558603,0.903,0.0263,-414.0,807.0,K2Si4O9,0.535,46.3
mp-21266,1.09,0.44,-576.0,674.0,BPPbO5,0.867,24.2
mp-31356,0.696,0.143,-570.0,736.0,Sr3MoN4,1.83,6.84
mp-3980,0.624,0.0461,-505.0,882.0,LiSbF6,1.15,15.6
mp-20402,0.0139,0.39,-752.0,782.0,Lu6UO12,115.0,4.32
mp-31001,0.623,0.371,-641.0,639.0,KSb3O5,1.89,5.83
mp-733853,0.67,0.184,-504.0,675.0,K2HI2ClO6,1.21,8.91
mp-755083,0.484,0.248,-766.0,700.0,BaYCl5,22.7,10.2
mp-938,2.36,2.67,-447.0,492.0,GeTe,0.306,0.213
mp-22889,0.9,0.151,-406.0,682.0,ZnCl2,0.518,3.43
mp-560449,0.0019,0.00196,240.0,265.0,K3Ni2F7,385.0,341.0
mp-707767,0.76,0.661,-587.0,568.0,Na2Sn2H4O5,3.41,2.21
mp-31016,0.629,0.0992,-598.0,755.0,Ca4Nb2O9,1.75,13.1
mp-19734,0.707,0.053,-471.0,860.0,MgPbF6,0.891,11.8
mp-24148,0.987,0.768,-509.0,575.0,LiLa2HO3,0.958,35.2
mp-765839,0.011899999999999999,0.00623,-481.0,376.0,CoRe2(H2O3)4,120.0,125.0
mp-777292,0.0339,0.224,-699.0,617.0,Ba3Y2Br12,73.5,56.2
mp-556950,0.834,0.123,-238.0,560.0,ZnS,229.0,463.0
mp-27839,0.412,0.747,-771.0,744.0,K2TiCl6,4.07,2.24
mp-849475,0.511,0.181,-754.0,759.0,VO2F,64.2,69.8
mp-571184,0.5,0.017,-544.0,768.0,CuMo3Br7,1.67,49.2
mp-677391,0.14,0.236,-722.0,770.0,Tm4Zr3O12,13.8,6.81
mp-18585,0.751,0.273,-552.0,670.0,RbAgSe4,1.57,6.66
mp-720895,0.0217,0.00204,-634.0,698.0,ReH22C4S4N8Cl8O3,67.2,719.0
mp-779389,0.496,0.112,-705.0,782.0,CsClO3,2.92,13.4
mp-557154,1.06,0.067,-368.0,725.0,NaGaO2,0.36,7.64
mp-752418,0.846,0.534,-444.0,517.0,La2Se2O,0.782,1.47
mp-7457,1.28,0.56,-562.0,550.0,SnF2,0.699,1.64
mp-776756,0.0956,0.0186,-697.0,701.0,Li4TiMn2Ni3(PO4)6,31.1,95.6
mp-8872,0.922,0.152,-391.0,654.0,RbNa2BO3,0.474,6.37
mp-567917,0.627,0.246,-557.0,650.0,TlBi(PSe3)2,1.8,3.87
mp-680577,0.728,0.0132,-459.0,737.0,KGa2Cl7,0.822,50.9
mp-565335,0.178,0.703,-682.0,642.0,GdMoClO4,16.4,118.0
mp-563,1.12,1.31,-594.0,709.0,C3N4,0.886,0.761
mp-643385,1.05,0.29,-341.0,703.0,SrHIO,0.316,4.84
mp-738663,0.212,0.387,-649.0,659.0,Sn2H10C4N2O9F2,6.11,8.54
mp-722381,0.945,0.0291,-409.0,789.0,CdH4S2O5,0.505,38.9
mp-21838,0.0172,0.0749,-857.0,777.0,Ce(SeO4)2,120.0,28.9
mp-31097,0.805,0.258,-475.0,699.0,KAlH4,0.87,2.52
mp-676449,0.774,0.000535,-424.0,692.0,Na4Al3Si3NO13,0.661,1120.0
mp-29526,1.66,0.441,-631.0,721.0,BrNO3,8.36,10.6
mp-695202,0.679,7.29e-05,-470.0,674.0,Mg4Al9Cu(SiO4)9,0.968,79600.0
mp-10337,0.9369999999999999,1.01,-449.0,431.0,BaYAgTe3,0.817,0.62
mp-23041,1.71,0.497,-512.0,661.0,SbSI,1.0,1.74
mp-5784,0.945,0.0936,-385.0,759.0,Na2GeO3,0.442,4.75
mp-18274,0.674,0.111,-460.0,740.0,Ba4LiNb3O12,0.946,7.19
mp-557031,0.549,0.106,-560.0,681.0,S,2.12,51.0
mp-705413,0.554,0.543,-122.0,-114.0,CsTaCo(OF2)2,1.44,1.45
mp-675678,0.976,0.341,-548.0,655.0,Nd4Ag2Se7,1.38,2.93
mp-31053,1.37,0.507,-431.0,602.0,Ag2S,0.74,1.11
mp-696736,0.847,0.0657,-427.0,808.0,RbBe2F5,0.608,12.8
mp-15217,0.933,0.254,-398.0,617.0,Rb2TaAgS4,0.491,3.61
mp-849636,1.43,0.939,-553.0,545.0,SrTaNO2,0.62,2.94
mp-556518,0.0126,0.00551,-758.0,752.0,K2Pd(NO3)4,340.0,935.0
mp-767611,0.215,0.067,-677.0,763.0,Li2V(CO3)2,7.74,304.0
mp-32407,0.797,0.228,-474.0,677.0,TaVO5,0.84,8.4
mp-763573,0.00334,0.00984,-666.0,675.0,Li5V(P2O7)2,503.0,179.0
mp-643270,1.12,0.348,-569.0,599.0,K3ZnH5,0.907,3.18
mp-754171,0.978,0.0754,-358.0,769.0,CsRbO,0.372,14.1
mp-3764,0.591,0.149,-629.0,724.0,Te3P2O11,3.78,16.2
mp-620404,0.616,0.51,-563.0,664.0,SnC2(SN)2,2.36,3.96
mp-277,0.817,1.36,-623.0,476.0,Zr3N4,4.15,1.03
mp-556820,0.63,0.174,-618.0,704.0,Sm3Si2Cl5O6,6.62,9.38
mp-768597,0.0164,0.369,-882.0,660.0,SrLaCl5,1500.0,9.06
mp-698329,0.105,0.0321,-685.0,717.0,ZnH16C6(N3O5)2,13.9,78.3
mp-541186,0.00714,0.0754,-676.0,649.0,MnH10SO9,1180.0,11900.0
mp-557385,0.147,0.027,-763.0,809.0,K4Ru(NO2)6,11.6,61.1
mp-752717,0.332,0.266,-538.0,641.0,La2SiO5,2.5,5.57
mp-754610,1.04,0.884,-461.0,603.0,Sr3CaI8,0.579,0.677
mp-561132,0.595,0.437,-630.0,659.0,K2Ge2PbS6,3.79,6.15
mp-31067,0.703,0.0891,-601.0,739.0,Nd(ClO4)3,2.03,31.8
mp-15011,0.501,1.68,-729.0,514.0,NaBS2,3.17,1.53
mp-554930,0.601,0.0854,-533.0,711.0,Nb2AgPS10,11.4,27.5
mp-756544,0.843,0.157,-424.0,739.0,LiLaO2,0.617,4.01
mp-14568,0.889,0.0506,-412.0,838.0,BaMgF4,0.541,43.7
mp-23170,0.845,0.774,-560.0,504.0,IO2,1.16,1.2
mp-708066,0.632,0.00868,-487.0,714.0,Sb6H3CCl13O10,1.09,102.0
mp-765306,0.00378,0.0168,-698.0,685.0,Li5VF8,879.0,83.7
mp-675800,1.17,0.734,-528.0,609.0,Li5TiP3,3.42,1.71
mp-6574,0.791,0.19,-444.0,742.0,Er2C(NO)2,0.76,2.96
mp-22925,1.11,0.242,-280.0,607.0,AgI,0.2,0.916
mp-706912,0.877,0.0197,-420.0,760.0,K2HS2NO6,0.567,31.1
mp-765918,0.107,0.0729,-732.0,747.0,LiV2OF5,49.9,32.0
mp-6268,0.119,0.145,-766.0,733.0,KTiPO5,16.9,16.7
mp-548403,0.66,0.13,-481.0,760.0,CaCO3,1.0,7.29
mp-549565,0.753,0.219,-457.0,710.0,Li4CO4,0.783,3.01
mp-647489,1.22,0.53,-555.0,718.0,CdI2,1.78,15.0
mp-761709,0.118,0.25,-717.0,660.0,LiCoPO4,12.8,5.83
mp-12944,0.934,0.128,-388.0,726.0,HoAsO4,0.457,3.83
mp-3859,0.904,0.127,-417.0,669.0,Ca2B2O5,0.551,33.4
mp-7684,0.992,0.44,-383.0,625.0,Tl3AsSe3,0.434,1.66
mp-28913,0.089,0.366,-635.0,667.0,Ti6CCl14,13.8,70.2
mp-568032,1.08,0.148,-231.0,649.0,Cd(InSe2)2,0.139,1.07
mp-772777,0.848,0.0136,-427.0,791.0,K3SrPCO7,0.611,65.0
mp-556942,0.893,0.0177,-390.0,772.0,Ca2SiO4,0.481,27.1
mp-626577,0.27,0.241,-754.0,782.0,Mo(HO2)2,24.9,12.3
mp-384,1.27,1.28,-466.0,421.0,MgP4,0.607,0.623
mp-680058,0.111,0.0562,-633.0,680.0,InTeI7,10.3,21.5
mp-760319,0.601,0.237,-549.0,708.0,Bi5O7F,3.57,17.8
mp-25783,0.394,0.053899999999999997,-530.0,741.0,NiH4SeO5,2.85,23.4
mp-705528,0.811,0.0175,-441.0,764.0,NaCaB5H8O13,0.679,53.5
mp-6097,0.85,0.0553,-431.0,713.0,Li3Al(BO3)2,0.636,38.2
mp-675556,0.707,0.0876,-514.0,660.0,Er2Zr8O19,20500.0,8.78
mp-27996,0.64,0.304,-688.0,739.0,H2SeO3,2.56,4.74
mp-648469,0.06,0.0771,-727.0,763.0,SbP2SN3Cl10,28.4,157.0
mp-766929,0.789,0.402,-612.0,691.0,Sn4P2O9,6.91,4.69
mp-28959,0.835,0.00693,-427.0,844.0,Si2Cl2O3,0.614,74.0
mp-762217,1.28,1.31,76.3,76.3,Li2P4WO13,0.96,0.952
mp-752555,0.6,0.162,-549.0,729.0,SrLa2O4,1.49,7.5
mp-762622,0.0013,0.186,-752.0,676.0,Li3Fe(PO4)2,1300.0,29.2
mp-11051,2.21,3.22,-490.0,344.0,NaSn,0.306,0.211
mp-561259,0.0102,0.0461,-840.0,840.0,Na3NbOF6,397.0,90.5
mp-697084,1.34,0.655,-516.0,602.0,HPbIO,1.0,3.2
mp-23457,0.359,0.0265,-605.0,791.0,PBr2N,3.76,46.5
mp-5479,0.898,0.0783,-403.0,813.0,RbAlF4,0.511,5.86
mp-558063,1.68,0.402,-424.0,678.0,KCu(BiS2)2,0.985,69.9
mp-677042,0.132,0.223,-661.0,685.0,Na7Zr4Si5PO24,9.48,6.8
mp-560110,0.0364,1.0,-804.0,582.0,BaUTiO6,370.0,1.99
mp-867690,0.0181,0.0493,-770.0,815.0,Li2CuF5,300.0,58.5
mp-763832,0.0652,0.314,-742.0,653.0,Li3MnPCO7,57.9,403.0
mp-556872,0.499,0.0581,-544.0,774.0,RbCO2,1.77,20.4
mp-27931,0.749,0.542,-635.0,577.0,Rb2SnO2,2.12,2.14
mp-738707,0.277,0.0116,-591.0,738.0,SiPH18C6INCl,7.05,329.0
mp-765476,0.879,0.103,-403.0,766.0,Y13Ho3O24,0.52,4.47
mp-3529,0.394,0.408,-622.0,603.0,K3VS4,2.9,3.0
mp-510341,1.02,2.11,-526.0,606.0,Cs3Ge4Au,0.885,12.1
mp-771685,0.266,0.206,-741.0,705.0,V4SnO12,7.19,10.6
mp-771570,0.794,0.45,-518.0,679.0,Sr2CaI6,1.08,6.01
mp-694982,0.833,0.279,-467.0,706.0,Sr2La2MgTi3O12,7820.0,62.8
mp-558162,0.899,0.0358,-424.0,777.0,RbP(OF)2,0.564,36.0
mp-729560,0.619,0.0129,-398.0,713.0,Sr20P12Br(O16F)3,9.29,93400.0
mp-761571,0.0453,0.0562,-657.0,714.0,Li5MnP3O11,190.0,67.0
mp-636461,0.847,0.0628,-426.0,730.0,Ga2Ge4Pb3O14,0.632,8.35
mp-579589,0.155,0.0846,-715.0,664.0,La4Cu6(MoO4)9,21.4,18.4
mp-763399,0.0652,0.0078,-674.0,364.0,Li2Co2(SiO3)3,142.0,957.0
mp-558988,0.00989,0.0109,-807.0,876.0,Ni(NF7)2,213.0,182.0
mp-769411,0.328,0.283,-659.0,692.0,Li6B3SbO9,3.88,8.41
mp-755541,0.939,0.0332,-388.0,762.0,Cs3YO3,0.457,16.6
mp-1342,1.52,0.708,-512.0,684.0,BaO,0.486,1.04
mp-559052,0.39,0.513,-672.0,630.0,LiNb3(Bi2O7)2,3.67,2.68
mp-764975,0.188,0.312,-725.0,630.0,LiMnF4,8.02,5.63
mp-865466,0.07,0.127,-883.0,871.0,TiH8(NF3)2,47.2,22.3
mp-19390,3.61,0.463,-576.0,767.0,WO3,0.259,2.02
mp-8809,0.928,0.331,-533.0,633.0,BaLa2PtO5,1.0,3.28
mp-772521,0.121,0.195,-788.0,786.0,Li8TiO6,15.4,10.9
mp-22969,1.09,0.313,-399.0,579.0,PbIF,0.628,1.44
mp-763244,0.216,0.869,-717.0,598.0,ZnFeH4O2F5,23.9,4.91
mp-28670,0.809,0.266,-441.0,625.0,Ba2Bi2O5,0.724,2.14
mp-638206,0.138,0.0517,-697.0,699.0,P3CN4Cl7,14.2,50.1
mp-554014,0.414,0.31,-213.0,-101.0,Li2Si4Cu5O14,1.31,1.5
mp-733968,0.928,0.036,-403.0,730.0,BaCaP2(HO4)2,0.494,19.9
mp-559420,0.0245,0.00418,-692.0,833.0,Sb4PtC4(O2F11)2,104.0,1400.0
mp-752549,0.724,0.349,-513.0,746.0,LiAgF2,1.33,2.31
mp-30946,0.0828,0.214,-706.0,717.0,Ga2PdI8,75.2,6.87
mp-759603,0.124,0.159,-738.0,737.0,H9CN5Cl2,21.3,10.6
mp-625207,0.6,0.0887,-613.0,749.0,P(HO)3,1.78,12.1
mp-549706,1.02,0.244,-356.0,613.0,MgO,0.35,3.68
mp-763657,0.122,0.532,-616.0,564.0,V3Zn7H3SO19,68.5,2.51
mp-22848,0.306,0.313,-718.0,794.0,Cl2,6.92,12.8
mp-555532,0.0094,0.00258,-706.0,709.0,CsBC3NOF9,371.0,1020.0
mp-555064,0.368,0.713,-747.0,722.0,Cd(CO2)2,6.16,4.88
mp-555182,0.906,0.0946,-405.0,674.0,Na2Be2(SiO3)3,0.511,7.04
mp-672342,0.0761,0.0958,-764.0,736.0,AsXe2O4F9,829.0,35.3
mp-555056,0.68,0.247,-527.0,653.0,SbS2NCl6,1.36,4.26
mp-8871,0.96,0.122,-383.0,695.0,CsNa2BO3,0.445,10.3
mp-560189,0.824,0.0385,-434.0,809.0,NaLi2BO3,0.653,16.8
mp-22607,1.08,0.162,-226.0,610.0,Zn(InSe2)2,0.134,0.9
mp-756473,0.0974,0.121,-712.0,766.0,WSCl4,33.6,16.3
mp-28294,0.556,0.15,-559.0,626.0,Sb11F43,2.31,5.9
mp-12433,1.09,0.202,-280.0,719.0,NaSnN,0.205,2.24
mp-25486,0.00288,0.0172,-633.0,760.0,CoH8(IO5)2,488.0,67.0
mp-559065,0.727,0.251,-636.0,711.0,NaI3O8,1.63,4.54
mp-6977,1.68,0.495,-461.0,582.0,Be3N2,0.386,1.31
mp-16911,0.314,0.109,-655.0,751.0,Rb2S5,4.64,21.0
mp-13003,1.13,0.109,-275.0,591.0,CdGeO3,0.189,2.24
mp-722910,0.282,0.193,-628.0,733.0,K2B6H5NO2,4.05,79.0
mp-565438,0.907,0.149,-445.0,634.0,CrHg3(SO2)2,0.724,4.25
mp-7262,1.34,0.682,-273.0,435.0,ZnAs2,0.185,1.75
mp-26701,0.287,0.0664,-679.0,749.0,Li3Sn2(PO4)3,4.99,23.9
mp-608014,1.12,0.172,-488.0,761.0,K2Ge2Pb2O7,0.708,4.0
mp-545746,0.027,0.0679,-780.0,787.0,KSO4,85.5,43.3
mp-754334,0.989,0.24,-366.0,784.0,NaTmO2,0.386,5.52
mp-767477,0.35,0.444,-658.0,592.0,Ta2MnO6,6.42,3.86
mp-13602,1.05,0.0371,-330.0,748.0,Cd3(AsO4)2,0.292,10.6
mp-5295,0.393,0.478,-764.0,786.0,LaNbO4,9.02,5.0
mp-772053,0.393,0.0479,-774.0,847.0,ZrMnO3,6.41,35.4
mp-740710,0.86,0.00983,-416.0,746.0,Na2LiP3H8O13,0.566,68.0
mp-766597,0.15,1.14,-672.0,659.0,Li4Ti5S12,26.5,4.71
mp-18987,0.252,0.0623,-582.0,761.0,LiMoP2O7,3.98,21.1
mp-23150,0.1,0.0642,-760.0,799.0,CS2NClO2,18.5,47.5
mp-556527,0.894,0.0826,-403.0,707.0,Rb4CO4,0.515,21.7
mp-541996,0.49,1.24,-576.0,519.0,Pr2SiTeO4,3.35,54.5
mp-770271,0.0205,0.198,-867.0,701.0,BaLaCl5,1200.0,17.8
mp-760664,0.808,0.0523,-442.0,775.0,LiCu(PO3)2,0.696,202.0
mp-5782,1.1,0.113,-298.0,750.0,AlAgS2,0.229,2.34
mp-22981,1.14,0.305,-491.0,630.0,TlIO3,0.595,2.32
mp-765748,0.235,0.164,-675.0,727.0,NaVPO5,11.9,184.0
mp-4624,0.391,0.849,-790.0,641.0,TaBO4,4.88,2.56
mp-566645,0.0981,0.0554,-694.0,752.0,MnH6SO6,49.1,50.7
mp-13274,0.898,0.0277,-403.0,873.0,Na4CO4,0.513,28.4
mp-10804,0.885,0.0567,-405.0,805.0,NaYPO4F,0.523,12.8
mp-567680,0.834,0.168,-435.0,777.0,BaCl2,0.66,3.31
mp-867583,1.08,0.0452,-305.0,200.0,AgSbO3,0.243,5.94
mp-6788,0.962,0.0857,-380.0,750.0,La3Ga5SnO14,0.423,5.39
mp-23411,1.35,0.361,-551.0,704.0,K2TeBr6,0.64,2.65
mp-677241,1.96,1.2,-467.0,491.0,LuCuSe2,0.626,0.655
mp-19135,0.0688,0.0536,-705.0,767.0,Ni(PO3)2,22.6,31.4
mp-569561,0.192,0.0878,-656.0,690.0,TeCl4,12.3,14.6
mp-22430,1.08,0.338,-571.0,680.0,BAsPbO5,0.852,5.91
mp-27927,0.721,0.26,-622.0,764.0,NbAlO4,29.4,4.29
mp-605642,0.947,0.0174,-446.0,737.0,KB3(HO3)2,0.609,57.5
mp-30299,0.541,0.213,-760.0,784.0,RbAsO2,3.39,8.15
mp-5036,0.691,0.829,-640.0,589.0,ErPS4,1.71,1.69
mp-779872,0.447,0.131,-772.0,731.0,Li2V2P7HO24,50.7,19.1
mp-770499,0.206,0.231,-635.0,614.0,Mn4P2O9,6.39,6.5
mp-6537,0.119,0.0792,-455.0,386.0,CaCu(GeO3)2,7.3,8.68
mp-568796,1.03,0.187,-330.0,566.0,YbRbI3,0.303,2.96
mp-623854,0.927,0.193,-577.0,689.0,NaNb3O8,36.3,7.96
mp-29331,0.846,0.0275,-430.0,848.0,KH3F4,0.615,19.7
mp-2632,1.03,0.0472,-348.0,837.0,TlF3,0.331,43.7
mp-781059,0.1,0.44,-735.0,605.0,Li2MnP2HO8,23.2,4.99
mp-555322,0.669,0.00108,-332.0,841.0,Eu2SiCl2O3,0.466,331.0
mp-676988,1.1,0.12,-679.0,822.0,Na3HoTi2Nb2O12,1.76,11.4
mp-19886,2.34,1.37,-546.0,685.0,ThSnPt,0.359,0.614
mp-9076,1.51,0.874,-539.0,587.0,NaTmS2,0.575,2.05
mp-698289,0.71,1.46,-588.0,561.0,BH11AuC4IN2,5.66,62.8
mp-9028,1.05,0.658,-513.0,663.0,PrBN2,0.732,1.24
mp-14591,0.855,0.769,-536.0,544.0,LiSbS2,1.01,1.05
mp-773513,0.351,0.226,-626.0,711.0,Er2(WO4)3,3.61,6.57
mp-762849,0.0355,0.0134,-654.0,712.0,VH10(CO5)2,37.1,346.0
mp-743582,0.115,0.125,-724.0,735.0,TiMnCr(PO4)3,15.3,11.8
mp-657338,1.07,0.12,-388.0,677.0,MgSiO3,0.4,77.3
mp-570695,1.11,0.483,-519.0,674.0,CdI2,21400.0,105.0
mp-37605,1.56,1.11,-546.0,558.0,LiNdSe2,0.541,0.761
mp-690794,1.19,0.0719,-544.0,878.0,Sr2HN,0.71,13.5
mp-560067,1.02,0.123,-343.0,699.0,AgHgSBr,0.339,2.99
mp-556327,0.5619999999999999,0.0262,-532.0,763.0,K2HgC2S2(BrN)2,1.65,30.9
mp-10226,1.42,0.781,-551.0,614.0,NaYS2,0.624,1.56
mp-17765,0.613,0.358,-661.0,727.0,Ta2ZnO6,17.5,5.34
mp-7642,1.02,0.126,-334.0,633.0,K2AgAs,0.315,2.55
mp-556225,1.45,0.775,-407.0,592.0,Ag2S,0.454,1.4
mp-780912,0.673,0.0215,-351.0,720.0,CaMnAs2(H3O5)2,0.519,94.2
mp-8714,0.177,0.465,-661.0,586.0,Rb2MnS2,15.0,3.0
mp-768222,0.868,0.00789,-418.0,851.0,BaY2F8,0.569,87.8
mp-643770,1.08,0.344,-545.0,657.0,Rb2MgH4,0.853,3.04
mp-696992,0.792,0.0428,-448.0,716.0,AgP2H8SN7O2,0.772,15.4
mp-560098,0.83,0.13,-498.0,755.0,SbO2,2.28,16.9
mp-566043,0.127,0.0729,-687.0,726.0,Ba3V4PbO14,36.1,34.7
mp-743872,0.376,0.322,-735.0,733.0,VPH5NO6,4190.0,65.3
mp-613518,0.626,0.116,-584.0,747.0,K2SbF5,1.85,10.7
mp-29541,0.307,0.527,-691.0,613.0,GaTeI7,10.8,3.8
mp-28512,0.385,0.0973,-705.0,795.0,Ba(ClO3)2,4.49,16.0
mp-978,1.2,0.302,-219.0,156.0,Sr2Sn,0.311,0.534
mp-556627,0.834,0.0106,-396.0,774.0,K4GeS4,0.53,41.8
mp-24026,0.674,0.184,-478.0,643.0,Si3H9N,0.96,4.47
mp-8195,1.77,0.94,-531.0,468.0,Ba2GeAs2,1.1,0.97
mp-754604,0.924,0.0403,-398.0,837.0,BaBePO4F,0.485,15.4
mp-20072,1.11,0.284,-587.0,858.0,LaCuO2,0.937,4.64
mp-1683,2.73,0.637,-452.0,479.0,ZrSe3,4.0,6.39
mp-555731,0.97,0.146,-377.0,690.0,SrGeO3,0.419,4.08
mp-757964,0.614,0.0653,-527.0,728.0,LiSn2P5O16,4.35,23.4
mp-541375,1.11,0.153,-363.0,710.0,CdH4Br3N,0.339,10.2
mp-687090,0.9,0.124,-578.0,763.0,Hf(MoO4)2,2.31,9.79
mp-4602,0.731,0.661,-562.0,716.0,Tb2Ti2O7,1.22,1.35
mp-760401,1.57,0.249,-500.0,667.0,Nb3O7F,4630.0,65.3
mp-630859,0.0336,0.0117,-749.0,771.0,Mn2C7S2O7,51.4,441.0
mp-555021,0.756,0.193,-457.0,753.0,TePbO3,0.783,4.36
mp-562394,1.0,0.0884,-392.0,676.0,Cs4Li2(Si2O5)3,0.435,21.1
mp-29197,0.0727,0.395,-698.0,619.0,La3Br6N,25.0,12.8
mp-21706,0.218,0.314,-642.0,687.0,GdAl3(PbO4)2,5.33,3.7
mp-679969,0.0388,0.00668,-708.0,841.0,PCN2Cl3,47.5,6600.0
mp-27698,0.011,0.372,-749.0,772.0,Y6UO12,144.0,5.28
mp-733489,0.477,0.0197,-538.0,746.0,SbHC2NCl11,1.89,47.4
mp-867757,0.847,0.0615,-430.0,705.0,RbCaCO3F,0.616,24.6
mp-545728,1.28,0.317,-320.0,696.0,PrBi2IO4,0.346,14.0
mp-778347,0.322,0.339,-610.0,576.0,LiFeF4,366.0,3.13
mp-582994,0.854,0.108,-498.0,745.0,KAg(CN)2,2.45,590.0
mp-775767,0.989,0.134,-399.0,758.0,AgAsO3,0.471,15.9
mp-14901,1.06,0.049,-398.0,740.0,NaZnAsO4,0.425,20.5
mp-8973,0.967,0.212,-374.0,650.0,NaSi2N3,0.409,2.71
mp-542613,0.831,0.119,-523.0,720.0,GeS2,2.18,7.43
mp-780370,0.648,0.149,-496.0,717.0,Sm3Al5O12,1.07,4.65
mp-4030,0.98,0.599,-628.0,572.0,Rb2Pt3S4,1.44,1.98
mp-761922,0.725,0.148,-463.0,759.0,LiNb(TeO4)3,0.884,7.01
mp-769597,0.288,0.242,-673.0,687.0,Li2CoGe3O8,4.43,5.26
mp-29637,0.0452,0.424,-749.0,639.0,K4MnBr6,50.2,3.75
mp-757885,0.949,0.202,-548.0,675.0,LiSnPO4,1.17,4.5
mp-676540,1.38,1.17,-565.0,520.0,TlSbS2,0.863,0.86
mp-778279,0.0316,0.465,-687.0,627.0,NaLiMnP2O7,87.9,12.6
mp-541335,0.178,0.194,-705.0,706.0,As2Se2S(NF6)2,11.1,49.5
mp-769118,2.77,2.3,-691.0,488.0,HoSO,8.21,2.71
mp-23110,1.01,0.303,-390.0,724.0,NaHg2IO2,0.517,10.5
mp-743541,0.134,0.624,-735.0,559.0,MnPH5CO4,412.0,4770.0
mp-856,1.16,0.122,-267.0,549.0,SnO2,0.174,1.68
mp-740711,0.731,0.0291,-690.0,811.0,Cs3B6H12Se4Br,2.14,51.1
mp-9799,1.27,0.493,-344.0,532.0,Yb4As2O,0.408,0.715
mp-11893,0.478,0.191,-636.0,692.0,K2Pd(CN)4,163.0,600.0
mp-706658,0.959,0.0196,-416.0,814.0,Mg3P2(H22O15)2,0.511,127.0
mp-646122,0.259,0.198,-615.0,594.0,C20Cl3,7.03,7.8
mp-752400,0.0622,0.616,-839.0,756.0,Ce2Sm2O7,31.9,3.22
mp-772986,0.895,0.0223,-408.0,759.0,Na3SiSnBO7,0.53,25.8
mp-756146,0.739,0.28099999999999997,-659.0,808.0,Mg(AgO2)2,6.57,4.86
mp-3756,0.836,0.47,-614.0,643.0,SmTaO4,1.39,3.5
mp-774430,0.347,0.0652,-571.0,752.0,Li2MnF4,3.79,27.9
mp-19592,0.533,0.468,-536.0,656.0,Nd4MnSe6O,179.0,1.95
mp-565823,0.544,0.438,-548.0,677.0,SmMoClO4,1.62,162.0
mp-557308,1.07,0.106,-237.0,582.0,ZnS,0.155,2.06
mp-565757,0.0892,0.102,-726.0,714.0,Gd2WO6,35.5,15.5
mp-559154,0.604,0.485,-576.0,631.0,Ti4Bi2O11,3.72,10.3
mp-680286,0.121,0.0393,-637.0,696.0,Os5(CO)19,29.9,64.4
mp-15066,0.889,0.122,-399.0,748.0,LiTmSiO4,0.505,41.2
mp-9173,0.522,0.604,-692.0,669.0,TiO2,3.23,3.15
mp-696396,0.757,0.167,-474.0,734.0,NaHCO3,1.12,26.2
mp-29922,0.518,0.0567,-643.0,785.0,Sb5PO10,10.8,28.8
mp-31946,0.291,0.145,-571.0,633.0,LiMnPO4,9.02,21.5
mp-676673,0.746,0.0984,-512.0,824.0,NaClO2,1.18,7.7
mp-604964,0.762,0.0853,-464.0,676.0,PH9C(NO)4,0.808,17.5
mp-686308,0.894,0.00127,-405.0,688.0,Na6Ga5Si7H15O32,0.517,801.0
mp-625474,0.848,0.0397,-426.0,838.0,H2SO4,0.604,22.2
mp-35035,0.57,0.196,-561.0,809.0,KCN,1.92,10.3
mp-18177,0.84,1.25,-589.0,499.0,Ba3NbAs3O,1.17,1.06
mp-667345,0.505,0.0758,-680.0,724.0,NbTl2PO6,557.0,26.3
mp-695214,0.703,0.227,-560.0,709.0,Ba9La3Mg5Nb7O36,17.7,5.22
mp-542031,0.663,0.376,-525.0,697.0,CrPbO4,1.56,6.16
mp-23281,0.722,0.27,-600.0,707.0,SbI3,2.01,4.1
mp-772864,0.966,0.0343,-408.0,705.0,Rb2Ge2O5,0.488,25.3
mp-4198,0.75,0.427,-241.0,-27.5,Ag3PO4,0.217,0.382
mp-28124,0.841,0.0156,-437.0,885.0,H8NF5,0.639,40.1
mp-780050,0.691,0.507,-489.0,568.0,Hf2N2O,4.93,3.64
mp-10096,0.977,0.42,-305.0,471.0,Na3Sr3GaP4,0.27,1.02
mp-760979,0.627,0.0466,-633.0,816.0,Na2Ti2O5,5520.0,26.6
mp-650140,0.0189,0.0407,-719.0,720.0,InCo3(CO)12,321.0,208.0
mp-771750,0.34,0.194,-702.0,716.0,Sr(IO3)2,4.3,11.4
mp-680689,0.709,0.0279,-509.0,740.0,SrTi2O5,102000.0,37400.0
mp-866613,0.86,0.0443,-425.0,764.0,CsNa2Be6(BO3)5,0.594,23.8
